reactjs/redux;gulpjs/gulp;C
reactjs/redux;golang/go;D
reactjs/redux;facebook/react;A
reactjs/redux;Microsoft/vscode;C
reactjs/redux;facebook/immutable-js;A
reactjs/redux;callemall/material-ui;C
reactjs/redux;tensorflow/tensorflow;B
reactjs/redux;facebook/react-native;D
reactjs/redux;vuejs/vue;A
reactjs/redux;electron/electron;C
reactjs/redux;docker/docker;D
reactjs/redux;apple/swift;D
reactjs/redux;nylas/nylas-mail;C
reactjs/redux;nodejs/node;A
reactjs/redux;Semantic-Org/Semantic-UI;C
reactjs/redux;neovim/neovim;D
reactjs/redux;Dogfalo/materialize;C
reactjs/redux;driftyco/ionic;C
reactjs/redux;atom/atom;C
reactjs/redux;chartjs/Chart.js;A
gulpjs/gulp;golang/go;D
gulpjs/gulp;facebook/react;C
gulpjs/gulp;Microsoft/vscode;C
gulpjs/gulp;facebook/immutable-js;C
gulpjs/gulp;callemall/material-ui;C
gulpjs/gulp;tensorflow/tensorflow;A
gulpjs/gulp;facebook/react-native;D
gulpjs/gulp;vuejs/vue;C
gulpjs/gulp;electron/electron;C
gulpjs/gulp;docker/docker;D
gulpjs/gulp;apple/swift;D
gulpjs/gulp;nylas/nylas-mail;C
gulpjs/gulp;nodejs/node;C
gulpjs/gulp;Semantic-Org/Semantic-UI;C
gulpjs/gulp;neovim/neovim;D
gulpjs/gulp;Dogfalo/materialize;C
gulpjs/gulp;driftyco/ionic;A
gulpjs/gulp;atom/atom;C
gulpjs/gulp;chartjs/Chart.js;C
golang/go;facebook/react;D
golang/go;Microsoft/vscode;D
golang/go;facebook/immutable-js;D
golang/go;callemall/material-ui;D
golang/go;tensorflow/tensorflow;D
golang/go;facebook/react-native;D
golang/go;vuejs/vue;D
golang/go;electron/electron;D
golang/go;docker/docker;D
golang/go;apple/swift;A
golang/go;nylas/nylas-mail;D
golang/go;nodejs/node;D
golang/go;Semantic-Org/Semantic-UI;D
golang/go;neovim/neovim;D
golang/go;Dogfalo/materialize;D
golang/go;driftyco/ionic;D
golang/go;atom/atom;D
golang/go;chartjs/Chart.js;D
facebook/react;Microsoft/vscode;C
facebook/react;facebook/immutable-js;A
facebook/react;callemall/material-ui;C
facebook/react;tensorflow/tensorflow;B
facebook/react;facebook/react-native;B
facebook/react;vuejs/vue;A
facebook/react;electron/electron;C
facebook/react;docker/docker;D
facebook/react;apple/swift;D
facebook/react;nylas/nylas-mail;C
facebook/react;nodejs/node;A
facebook/react;Semantic-Org/Semantic-UI;C
facebook/react;neovim/neovim;D
facebook/react;Dogfalo/materialize;C
facebook/react;driftyco/ionic;C
facebook/react;atom/atom;C
facebook/react;chartjs/Chart.js;A
Microsoft/vscode;facebook/immutable-js;C
Microsoft/vscode;callemall/material-ui;D
Microsoft/vscode;tensorflow/tensorflow;D
